Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.356,3.498,2.981,167.852688912852,17.142,40.1626281271656,48845
6.382,2.773,2.661,506.779102427298,13.955,24.6575638447754,48904
6.37,2.788,2.712,374.295917995112,14.076,25.2185730585982,48961
6.368,2.779,2.674,238.748568798896,13.948,24.7771657861092,49019
5.453,2.778,2.663,113.131154943454,12.509,21.1221210802041,49076
7.399,3.029,2.901,563.400332343374,16.944,34.0422809621544,49130
7.562,3.055,2.923,431.918635403277,17.377,35.3569932221177,49183
7.637,3.072,2.946,299.665654119891,17.496,36.1888986927312,49239
7.696,3.032,2.939,162.69982524666,17.287,35.9081031748637,49297
4.283,2.969,2.833,80.8418554422623,10.223,18.8626831140893,49357
6.164,3.58,3.104,600.969961136935,16.846,35.8646000082922,49417
7.582,3.622,3.15,464.002867579433,19.727,45.2940757601081,49485
7.591,3.628,3.172,325.94653389473,19.879,45.7402012146743,49545
7.387,3.623,3.172,192.415048764334,19.77,44.4496385737888,49605
7.138,3.422,3.096,566.191384797058,19.713,39.5964383233845,49657
7.609,3.452,3.123,446.773680569616,20.289,42.9505745420238,49710
7.605,3.509,3.141,309.717015877011,20.402,43.888339049054,49768
7.513,3.471,3.116,183.647698395641,20.308,42.5465229508465,49824
4.985,3.49,3.104,97.1210463051006,14.311,28.2755410916452,49884
3.83,3.49,2.969,646.831934967568,10.159,20.7794008410019,49946
7.068,3.276,3.014,578.456749220779,18.753,36.5411578366249,49997
7.583,3.309,3.093,459.119566648405,20.152,40.6365065615065,50051
7.666,3.453,3.1,336.279857104295,20.291,42.9660776923002,50111
7.705,3.357,3.104,207.443709563905,20.186,42.038220051619,50169
5.37,3.354,3.014,105.704335465529,15.052,28.4236086050309,50222
7.195,3.232,3.059,571.440476361632,17.858,37.2460523783036,50279
7.356,3.261,3.082,441.476078617803,18.362,38.7100539028984,50336
7.365,3.272,3.127,298.424381005174,18.527,39.4559541036321,50396
7.214,3.248,3.119,160.371966072708,18.515,38.2653910230753,50457
6.007,3.58,3.151,597.448651725565,18.192,35.4803327413642,50877
7.326,3.799,3.166,472.934922791847,20.784,46.136616396264,50933
7.342,4.141,3.198,333.83943359637,21.051,50.9092492233915,50989
7.324,4.497,3.188,202.187600300648,21.065,54.9779014211817,51048
5.461,4.056,3.172,102.340877331063,15.984,36.7876396564032,51099
5.871,2.556,2.243,545.150809103496,11.868,17.6238515405736,51259
5.98,2.586,2.274,404.158906882591,12.176,18.4127555391601,51316
6.005,2.606,2.266,260.143727538185,12.192,18.5671801385842,51375
6.413,3.512,3.304,592.111137486462,17.305,38.9631811922599,51443
6.908,3.56,3.288,450.221987889695,18.261,42.3382358668515,51502
6.809,3.611,3.279,306.027393868035,18.317,42.2134513778236,51562
6.688,3.563,3.253,169.688961407491,18.095,40.5877309065848,51616
4.169,3.58,3.218,76.4531194454319,11.556,25.1477760324564,51669
6.368,3.875,3.512,592.167367219162,20.462,45.3761757339626,53337
7.593,3.898,3.576,470.041663914999,23.326,55.4180661979649,53403
7.682,3.949,3.603,312.911811892473,23.578,57.2300757837023,53468
7.634,3.948,3.57,174.09399952623,23.483,56.3373141029171,53525
4.464,3.943,3.535,85.2135010948774,14.304,32.5790940530583,53581
